,College Name,360 Careers Rating,NIRF Rank
227,"Gokaraju Rangaraju Institute of Engineering and Technology, Hyderabad",AAA+,179
228,"Government College of Engineering Textile Technology, Serampore",AAA+,--
229,"Government College of Engineering and Ceramic Technology, Kolkata",AAA+,--
230,"Government College of Engineering and Leather Technology, Kolkata",AAA+,--
231,"Government College of Engineering and Technology, Jammu",AAA+,--
232,"Government College of Engineering, Amravati",AAA+,--
233,"Government College of Engineering, Aurangabad",AAA+,--
234,"Government College of Engineering, Bargur",AAA+,--
235,"Government College of Engineering, Kannur",AAA+,--
236,"Government College of Engineering, Salem",AAA+,--
237,"Government Engineering College, Barton Hill, Thiruvananthapuram",AAA+,--
238,"Government Engineering College, Kozhikode",AAA+,--
239,"Government Engineering College, Sreekrishnapuram",AAA+,--
240,"Government Model Engineering College, Thrikkakara",AAA+,--
241,"Gulzar Group of Institutes, Ludhiana",AAA+,--
242,"Guru Jambheshwar University of Science and Technology, Hisar",AAA+,--
243,"Guru Nanak Institutions Technical Campus, Ibrahimpatnam",AAA+,--
244,"Haldia Institute of Technology, Haldia",AAA+,174
245,"Heritage Institute of Technology, Kolkata",AAA+,150
246,"ICFAI University, Dehradun",AAA+,--
247,"IK Gujral Punjab Technical University, Jalandhar",AAA+,96
248,"ITM University, Gwalior",AAA+,--
249,Indian Institute of Information Technology Design and Manufacturing Kurnool,AAA+,--
250,Indian Institute of Information Technology Dharwad,AAA+,--
251,Indian Institute of Information Technology Kalyani,AAA+,--
252,Indian Institute of Information Technology Tiruchirappalli,AAA+,--
253,"Indian Institute of Information Technology, Kota",AAA+,--
254,"Indian Institute of Information Technology, Kottayam",AAA+,--
255,"Indian Institute of Information Technology, Sri City",AAA+,--
256,"Indian Institute of Information Technology, Vadodara",AAA+,--
257,Indian Institute of Petroleum and Energy Visakhapatnam,AAA+,--
258,Indian Institute of Technology Dharwad,AAA+,--
259,Indian Institute of Technology Palakkad,AAA+,--
260,Indian Institute of Technology Tirupati,AAA+,--
261,"Indira Gandhi Delhi Technical University for Women, Delhi",AAA+,162
262,"Institute of Aeronautical Engineering, Dundigal",AAA+,139
263,"International Institute of Information Technology, Bhubaneswar",AAA+,--
264,"International Institute of Information Technology, Pune",AAA+,--
265,"JECRC University, Jaipur",AAA+,--
266,"JK Lakshmipat University, Jaipur",AAA+,--
267,"JNTUA College of Engineering, Pulivendula",AAA+,--
268,"JNTUK University College of Engineering, Vizianagaram",AAA+,--
269,"JSS Academy of Technical Education, Bangalore",AAA+,--
270,"JSS Academy of Technical Education, Noida",AAA+,--
271,"Jodhpur Institute of Engineering and Technology, Jodhpur",AAA+,--
272,"K Ramakrishnan College of Technology, Tiruchirappalli",AAA+,--
273,"KIET School of Engineering, Ghaziabad",AAA+,--
274,"KJ Somaiya College of Engineering, Mumbai",AAA+,182
275,"KJ Somaiya Institute of Engineering and Information Technology, Mumbai",AAA+,--
276,"KLE Technological University, Hubballi",AAA+,159
277,"KLS Gogte Institute of Technology, Belagavi",AAA+,--
278,"KS Rangasamy College of Technology, Tiruchengode",AAA+,--
279,"KSR College of Engineering, Tiruchengode",AAA+,--
280,"Kakatiya Institute of Technology and Science, Warangal",AAA+,180
281,"Karpagam College of Engineering, Coimbatore",AAA+,--
282,"Kongu Engineering College, Erode",AAA+,99
283,"LD College of Engineering, Ahmedabad",AAA+,--
284,"Lakshmi Narain College of Technology, Bhopal",AAA+,--
285,"Lovely Professional University, Phagwara",AAA+,125
286,"M Kumarasamy College of Engineering, Karur",AAA+,--
287,"MIT Academy of Engineering, Pune",AAA+,--
288,"MKSSS's Cummins College of Engineering for Women, Pune",AAA+,188
289,"MLR Institute of Technology, Dundigal",AAA+,--
290,"MS Ramaiah University of Applied Sciences, Bangalore",AAA+,--
291,"Madan Mohan Malaviya University of Technology, Gorakhpur",AAA+,--
292,"Madhav Institute of Technology and Science, Gwalior",AAA+,--
293,"Maharaj Vijayaram Gajapathi Raj College of Engineering, Vizianagaram",AAA+,--
294,"Maharaja Surajmal Institute of Technology, Delhi",AAA+,--
295,"Mahatma Gandhi Institute of Technology, Hyderabad",AAA+,--
296,"Malla Reddy College of Engineering and Technology, Hyderabad",AAA+,--
297,"Malnad College of Engineering, Hassan",AAA+,--
298,"Manav Rachna International Institute of Research and Studies, Faridabad",AAA+,164
299,"Mar Athanasius College of Engineering, Kothamangalam",AAA+,--
300,"Meenakshi Sundararajan Engineering College, Chennai",AAA+,--
301,"Mepco Schlenk Engineering College, Sivakasi",AAA+,88
302,"Mody University of Science and Technology, Lakshmangarh",AAA+,--
303,"NIIT University, Neemrana",AAA+,--
304,"NMAM Institute of Technology, Karkala Taluk",AAA+,128
305,"NSS College of Engineering, Palakkad",AAA+,--
306,"Nagaland University, Lumami",AAA+,--
307,"Narula Institute of Technology, Agarpara",AAA+,160
308,"National Institute of Food Technology Entrepreneurship and Management, Sonepat",AAA+,117
309,National Institute of Technology Andhra Pradesh,AAA+,--
310,National Institute of Technology Arunachal Pradesh,AAA+,--
311,National Institute of Technology Manipur,AAA+,148
312,National Institute of Technology Nagaland,AAA+,--
313,National Institute of Technology Sikkim,AAA+,--
314,"Nitte Meenakshi Institute of Technology, Bangalore",AAA+,142
315,"PES College of Engineering, Mandya",AAA+,161
316,"PES University, Bangalore",AAA+,149
317,"PSNA College of Engineering and Technology, Dindigul",AAA+,150
318,"Padre Conceicao College of Engineering, Goa",AAA+,--
319,"Panjab University, SSG Regional Centre, Hoshiarpur",AAA+,--
320,"Pimpri Chinchwad College of Engineering and Research, Pune",AAA+,--
321,"Pimpri Chinchwad College of Engineering, Pune",AAA+,192
322,"Poornima College of Engineering, Jaipur",AAA+,--
323,"Presidency University, Bangalore",AAA+,--
324,"RMD Engineering College, Thiruvallur",AAA+,--
325,"RMK Engineering College, Thiruvallur",AAA+,157
326,"RNS Institute of Technology, Bangalore",AAA+,--
327,"RVR and JC College of Engineering, Guntur",AAA+,--
328,"Rajagiri School of Engineering and Technology, Kochi",AAA+,--
329,"Rajalakshmi Engineering College, Chennai",AAA+,139
330,"Rajasthan Technical University, Kota",AAA+,--
331,"Rajeev Gandhi Memorial College of Engineering and Technology, Kurnool",AAA+,--
